,Id,SalePrice
0,1461,110087.05443232074
1,1462,149238.69822851656
2,1463,176181.10685188803
3,1464,184156.15402731052
4,1465,206364.89777201306
5,1466,154361.06382839967
6,1467,157417.69203740865
7,1468,145934.34868268718
8,1469,206276.1158273869
9,1470,111488.7625929962
10,1471,144703.45947496558
11,1472,80109.04736174415
12,1473,84168.31529395659
13,1474,131555.8673598038
14,1475,78215.54814010748
15,1476,411848.2374134198
16,1477,278119.0675624005
17,1478,345251.7611540593
18,1479,352388.4016253165
19,1480,522047.6490220904
20,1481,351234.6770059138
21,1482,217175.540754091
22,1483,167498.7750671793
23,1484,157536.18566490163
24,1485,153853.38277513173
25,1486,182465.95397774994
26,1487,400432.257730957
27,1488,244456.22627169333
28,1489,209482.98555015714
29,1490,252467.0662597792
30,1491,188980.02575803007
31,1492,81217.05093971436
32,1493,191099.35162601343
33,1494,319441.0594590915
34,1495,318500.42688180285
35,1496,247341.5757129374
36,1497,170185.6823737709
37,1498,168587.80418554458
38,1499,151822.4527777834
39,1500,142766.75088590023
40,1501,165748.42314656044
41,1502,126261.00339943058
42,1503,304287.2471302858
43,1504,228976.93030119402
44,1505,227881.58900972214
45,1506,211763.32270416943
46,1507,254482.22795653486
47,1508,206316.90307171765
48,1509,151624.23679688535
49,1510,144967.77243077126
50,1511,150988.491675685
51,1512,165219.21895792743
52,1513,127300.04369584622
53,1514,183596.9608919279
54,1515,190360.26490209033
55,1516,142541.2527546588
56,1517,175666.22415222827
57,1518,133425.0560493097
58,1519,212532.04591714672
59,1520,114308.40338792195
60,1521,126925.85789148946
61,1522,178016.7061955834
62,1523,98137.2860125044
63,1524,100196.97576372125
64,1525,107272.80492991385
65,1526,82747.27806371548
66,1527,105016.6908138848
67,1528,101977.2390997215
68,1529,159765.21891718014
69,1530,181748.28325556684
70,1531,91393.90199115683
71,1532,102626.84244494881
72,1533,162610.18422552102
73,1534,106398.24500197728
74,1535,130238.15351654933
75,1536,89325.20845443386
76,1537,66135.29227661077
77,1538,132721.0120197953
78,1539,199241.7231176393
79,1540,157776.97385789748
80,1541,140381.63147525428
81,1542,158435.25176545067
82,1543,177381.61736351319
83,1544,58300.71608705494
84,1545,86531.23101493539
85,1546,139360.14696468716
86,1547,106269.83749121743
87,1548,125257.04569650497
88,1549,118153.08195175549
89,1550,146282.8563312352
90,1551,85778.27801046678
91,1552,142712.1235742411
92,1553,157256.12091280168
93,1554,90827.58355994777
94,1555,164962.65320803697
95,1556,47691.44067482358
96,1557,148067.1984669395
97,1558,84361.06266235137
98,1559,114139.77064406051
99,1560,104642.9116428929
100,1561,177384.96415558556
101,1562,137353.27484546008
102,1563,112617.21265874436
103,1564,152764.90986564453
104,1565,154382.02300489618
105,1566,235384.6256118652
106,1567,66409.61470352038
107,1568,227642.18557521334
108,1569,154754.9685005136
109,1570,125670.87242090961
110,1571,97317.74894520147
111,1572,131857.60005465313
112,1573,246636.47679151717
113,1574,152710.07093995763
114,1575,234118.8246022765
115,1576,234521.34485867
116,1577,197002.82427296654
117,1578,135201.59658152773
118,1579,145452.97047290634
119,1580,188449.68839375174
120,1581,133182.43061684302
121,1582,130734.59488314015
122,1583,288236.1546097857
123,1584,215969.68195949373
124,1585,118035.99521911613
125,1586,93799.4375534036
126,1587,86309.75148996372
127,1588,165090.17531402787
128,1589,85738.53994867075
129,1590,115974.66485349806
130,1591,119665.0133948974
131,1592,137501.89886345618
132,1593,114472.52619404232
133,1594,202324.28659160208
134,1595,145191.64058543602
135,1596,228254.52461788242
136,1597,210911.7229278193
137,1598,191536.80662877316
138,1599,179926.50257274974
139,1600,168138.14240842324
140,1601,42808.65983520486
141,1602,130371.73856821883
142,1603,56273.68552784446
143,1604,291395.17557612224
144,1605,226390.4081658308
145,1606,139245.6074163249
146,1607,184315.59309746337
147,1608,223419.75585689186
148,1609,181455.85338638
149,1610,140565.9114297248
150,1611,142133.87982821028
151,1612,208098.5127163194
152,1613,173353.35589999642
153,1614,120421.80645624717
154,1615,112917.83224646177
155,1616,103676.3965773632
156,1617,76576.10641533884
157,1618,124604.85210097267
158,1619,120948.76915781556
